Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
1;Precious Achiuwa;C;23;TOR;7;0;22.4;2.9;7.7;0.37;0.6;2.6;0.222;2.3;5.1;0.444;0.407;2.1;2.7;0.789;1.9;6.1;8;1.3;0;0.3;1.3;1.6;8.4
2;Steven Adams;C;29;MEM;7;7;25.9;2.3;4.1;0.552;0;0;0;2.3;4.1;0.552;0.552;0.6;2.6;0.222;3.9;6.1;10;2;0.7;1.4;2.3;2.6;5.1
3;Bam Adebayo;C;25;MIA;8;8;35.4;6.8;12.6;0.535;0;0.3;0;6.8;12.4;0.545;0.535;4.1;4.9;0.846;2.3;5.6;7.9;3.1;1.4;1.1;3.4;3.4;17.6
4;Ochai Agbaji;SG;22;UTA;4;0;14.8;2;4.8;0.421;0;1.5;0;2;3.3;0.615;0.421;1;1.8;0.571;1;1;2;0.3;0;0;0;1.3;5
5;Santi Aldama;PF;22;MEM;7;7;29.4;3.6;8.3;0.431;0.9;3.4;0.25;2.7;4.9;0.559;0.483;1.7;2.4;0.706;2;4.1;6.1;1;0.7;1.1;0.7;2.9;9.7
6;Nickeil Alexander-Walker;SG;24;UTA;5;0;7.8;1.4;3.2;0.438;0.6;1.8;0.333;0.8;1.4;0.571;0.531;0.6;0.8;0.75;0;0.6;0.6;1.8;0.8;0.4;0.4;1.2;4
7;Grayson Allen;SG;27;MIL;6;6;26.2;2.7;8;0.333;1.7;5.2;0.323;1;2.8;0.353;0.438;2.3;2.7;0.875;0.7;2.8;3.5;2.3;0.7;0;1.5;1;9.3
8;Jarrett Allen;C;24;CLE;6;6;32.5;5;9.2;0.545;0;0.3;0;5;8.8;0.566;0.545;2;2.8;0.706;4.5;7.2;11.7;1.5;0.2;1;1;2.2;12
9;Jose Alvarado;PG;24;NOP;6;2;21.3;3;6.8;0.439;1.3;3.7;0.364;1.7;3.2;0.526;0.537;0.5;0.7;0.75;0.2;1.8;2;2.5;0.8;0.2;1.7;1.5;7.8
10;Kyle Anderson;PF;29;MIN;4;0;12.3;0.3;0.8;0.333;0;0.3;0;0.3;0.5;0.5;0.333;1.3;1.5;0.833;0.8;2;2.8;1.3;0.3;0.3;0.5;0.8;1.8
11;Giannis Antetokounmpo;PF;28;MIL;6;6;34.2;12.7;21.5;0.589;1;3.5;0.286;11.7;18;0.648;0.612;7.5;11.8;0.634;1.8;11;12.8;5.2;0.5;1.7;3.3;3.2;33.8
12;Thanasis Antetokounmpo;SF;30;MIL;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;Cole Anthony;PG;22;ORL;4;3;30.5;5.5;13.3;0.415;1.8;5;0.35;3.8;8.3;0.455;0.481;2.8;3.8;0.733;0.8;4;4.8;4.3;0.8;0.8;2;3.5;15.5
14;OG Anunoby;SF;25;TOR;7;7;35.6;4.7;10.7;0.44;1.9;5;0.371;2.9;5.7;0.5;0.527;2.3;2.9;0.8;1;5.4;6.4;1.7;2.6;1;1.9;3.9;13.6
